,symbol,stock_return_100,market_return_100,sentiment,beta,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda
0,MMM,-0.15340646141270584,0.09360718955319823,0.09815129499999989,0.963,57964929000,7424000000,10.26,2.314,26.8,5.96,0.0574,10.19,60.48,0.169,0.163,0.0748,0.388,34229000000,15000000000,10.19,-0.578,-0.062,10.26,11.92,1.946,4.95,2.377,8.52
0,AOS,0.20184526064283684,0.09360718955319823,0.08853539285714285,1.256,10390498000,290900000,45.6,1.812,11.56,1.14,0.0174,1.51,24.25,0.0628,0.057,0.0393,0.132,3753900000,1329600000,1.51,-0.134,-0.06,45.6,18.12,2.276,5.15,2.331,12.14
0,ABT,0.03831487446001562,0.09360718955319823,0.1742374600000001,0.666,176558326000,12103000000,25.98,18.76,21.11,1.92,0.0201,3.91,24.9,0.159,0.202,0.0738,0.19,43653001000,24579000000,3.91,-0.472,-0.12,25.98,25.13,4.202,5.44,4.452,15.2
0,ABBV,0.09289733192485183,0.09360718955319823,0.15581852999999996,0.587,282332955000,31089000000,24.14,1.279,9.75,5.71,0.0369,6.63,32.78,0.204,0.39,0.0991,0.724,58054001000,41527000000,6.63,-0.388,0.016,24.14,14.39,4.989,18.23,6.04,13.8
0,ACN,0.07708664931008785,0.09360718955319823,0.23230539999999997,1.242,180662305000,10699595000,26.32,2.975,37.64,4.33,0.0157,10.86,100.0,0.11,0.153,0.131,0.309,63144419000,19701539000,10.86,-0.059,0.051,26.32,25.58,2.878,8.69,3.043,18.53
0,ATVI,0.18769187831426185,0.09360718955319823,0.15531055499999996,0.418,66922099000,1773000000,44.44,3.799,24.54,0,0.0055,1.92,9.63,0.201,0.221,0.0397,0.0821,7528000000,5306000000,1.92,-0.293,0.079,44.44,20.12,8.12,3.206,7.23,22.05
0,ADM,-0.1386685678782065,0.09360718955319823,0.2158925399999999,0.792,43529810000,5266000000,10.33,16.43,44.39,1.6,0.0226,7.71,180.71,0.0427,0.0417,0.0457,0.184,101556003000,7570000000,7.71,0.332,0.123,10.33,14.45,0.514,2.124,0.604,9.31
0,ADBE,0.28868738916585795,0.09360718955319823,0.16664471999999997,1.272,176769221000,6721000000,37.6,1.481,30.95,0,0,10.25,38.62,0.263,0.339,0.145,0.339,17999000000,15441000000,10.25,0.019,0.092,37.6,22.22,8.89,10.99,9.13,22.68
0,ADP,-0.10587774527688237,0.09360718955319823,0.20987594500000004,0.819,92247187000,4692000000,29.61,2.947,7.21,4.37,0.0225,7.52,41.49,0.182,0.241,0.0458,0.783,17247199000,7447100000,7.52,0.182,0.091,29.61,31.95,6.11,41.87,6.72,24.22
0,AAP,-0.30076559262162145,0.09360718955319823,0.15926023999999994,1.137,7208287000,1037605000,14.71,0.909,45.49,6,0.0493,8.27,184.83,0.045,0.0676,0.0389,0.173,11154722000,4964672000,8.27,0.383,0.032,14.71,11.03,0.766,3.13,1.077,12.61
0,AES,-0.08707918486475294,0.09360718955319823,0.15823740909090908,0.927,16110276000,3399000000,None,2.127,2.391,0.64,0.0279,-0.81,18.89,-0.0433,0.186,0.0411,-0.0867,12617000000,2548000000,-0.81,0.229,0.105,-,16.72,1.556,7.6,3.273,30.85
0,AFL,-0.04229783829662123,0.09360718955319823,0.18504217500000006,0.939,39553044000,4875000000,9.81,0.93,36.35,1.6,0.026,6.59,30.72,0.215,0.248,0.0209,0.151,19502000000,8080000000,6.59,-0.81,-0.262,9.81,12.8,2.06,1.812,2.243,-
0,A,0.011997885008998253,0.09360718955319823,0.2202003350000002,1.045,40765481000,2019000000,31.05,2.36,18.96,0.855,0.0065,4.44,23.27,0.191,0.248,0.101,0.246,6930000000,3722000000,4.44,0.279,0.049,31.05,26.95,6.5,8.63,6.92,24.87
0,APD,0.02986565878428418,0.09360718955319823,0.2146112800000001,0.858,64190874000,3883000000,28.5,1.918,62.75,6.48,0.0244,10.14,57.99,0.176,0.198,0.0577,0.158,12879100000,3360100000,10.14,0.02,0.06,28.5,27.55,5.53,5.31,5.89,17.72
0,AKAM,-0.12920969914683436,0.09360718955319823,0.10844800529100525,0.784,12172955000,1145857000,23.39,1.361,27.86,0,0,3.33,22.73,0.145,0.199,0.0547,0.118,3616654000,2237817000,3.33,0.152,0.025,23.39,15.2,3.744,3.3,4.524,12.65
0,ALK,-0.05131103074141056,0.09360718955319823,0.18458303999999992,1.54,5365002000,771000000,91.5,1.3,29.92,0,0.0534,0.46,76.16,0.006,0.0369,0.0158,0.0152,9646000000,2357000000,0.46,0.186,0.305,91.5,8.1,0.612,1.516,0.729,11.31
0,ALB,-0.29928548309058267,0.09360718955319823,0.17192072499999994,1.581,25927858000,2867504000,9.56,0.316,68.13,1.58,0.0073,22.85,62.5,0.367,0.351,0.121,0.402,7320104000,3077787000,22.85,-0.044,1.931,9.56,9.74,5.04,4.313,5.55,15.91
0,ARE,-0.1153567537334156,0.09360718955319823,0.23899846500000002,0.964,21568449000,1554830000,38.8,844.2,111.11,4.72,0.0389,3.18,16.02,0.201,0.242,0.0119,0.0322,2589607000,1806454000,3.18,-0.335,0.156,38.8,17.24,9.87,1.425,14.23,20.13
0,ALGN,0.8722075839156833,0.09360718955319823,0.13979641000000004,1.598,25078383000,782688000,66.27,10.8,46.61,0,0,4.94,47.76,0.0968,0.176,0.0691,0.1,3734635000,2636675000,4.94,-0.779,-0.126,66.27,25.06,4.083,4.14,3.707,16.42
0,ALLE,-0.03442204720744181,0.09360718955319823,0.1862375644171779,1.105,9340304000,711900000,20.48,2.033,10.72,1.64,0.0169,5.19,37.18,0.14,0.191,0.111,0.537,3271900000,1322400000,5.19,0.217,0.215,20.48,18.08,2.977,12.19,3.715,17.69
