,symbol,stock_return_100,market_return_100,sentiment,market_cap,ebitda,pe_ratio,peg_ratio,book_value,dividend_per_share,dividend_yield,eps,revenue_per_share,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue,gross_profit,diluted_eps,quarterly_earnings_growth,quarterly_revenue_growth,trailing_pe,forward_pe,price_to_sales_ratio,price_to_book_ratio,ev_to_revenue,ev_to_ebitda,beta,outperformed
0,A,0.011997885008998253,0.09360718955319823,0.22134779500000018,41011196000,2019000000,31.13,2.36,18.96,0.855,0.0065,4.44,23.27,0.191,0.248,0.101,0.246,6930000000,3722000000,4.44,0.279,0.049,31.13,26.95,6.5,8.63,6.92,24.87,1.045,False
1,AA,-0.006510938189354645,0.09360718955319823,0.09658568499999998,7330908000,2030000000,None,-0.29,28.68,0.4,0.0094,-0.67,68.79,-0.0099,0.114,0.0593,0.0059,12451000000,2305000000,-0.67,0.81,-0.203,-,12.02,0.583,1.485,0.63,5.12,2.452,False
2,AAC,0.03251625812906464,0.09360718955319823,0.295698,742291000,None,60.71,None,-0.488,0,0,0.17,0,0,0,-0.0046,2.833,0,0,0.17,-0.409,0,60.71,-,-,1.308,-,-301.41,0.0056,False
3,AAC-U,0.050050050050050046,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
4,AAC-WS,16.599999999999998,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
5,AACG,0.03036580711988217,0.09360718955319823,0.06081630555555554,58370000,-33561084,None,None,4.557,0,0,-0.22,6.59,-0.232,-0.274,-0.0721,-0.291,206821000,104796000,-0.22,0,0.082,-,-,0.231,2.302,0.488,-1.063,1.148,False
6,AACI,0.013052208835341264,0.09360718955319823,0.11542799999999999,208959000,None,None,None,-0.241,0,0,-0.25,0,0,0,-0.0186,0,0,0,-0.25,0,0,-,-,-,-,-,-,None,False
7,AACIU,0.005025125628140776,0.09360718955319823,,None,None,None,None,-0.241,0,0,-0.203,0,0,0,-0.0186,0,0,0,-0.203,0,0,-,-,-,-,-,-,None,False
8,AACIW,1.0870406189555124,0.09360718955319823,,None,None,None,None,0.005,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
9,AADI,-0.4541387024608501,0.09360718955319823,0.05333433333333331,178879000,-58852000,None,None,6.48,0,0,-2.83,0.676,0,-3.875,-0.215,-0.411,15216000,-18781000,-2.83,0,4.227,-,-,28.19,1.893,12.63,-2.232,None,False
10,AAIC,-0.08278145695364239,0.09360718955319823,,79710000,None,56.2,None,6.33,0,0.0915,0.05,0.989,0.167,0.337,0.005,0.0222,29181000,3755000,0.05,-0.689,2.127,56.2,10,2.877,0.466,-,-,1.488,False
11,AAIC-P-B,0.14345029712871551,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,True
12,AAIC-P-C,0.04240529425104355,0.09360718955319823,,None,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
13,AAIN,0.009355258268300946,0.09360718955319823,,None,None,None,None,None,None,0,None,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,None,False
